NAME,AMOUNT__C,ASSISTANCE_TYPE__C,CATEGORY__C,DATE_PAID__C,EXPENSE_STATUS__C,EXT_HOUSEHOLD__C,VENDOR__C,EXTERNAL_ID__C
September Rent,1620.0,,Housing,08/27/20,Paid,SHFS-TFC0000525118,,a0z4N000007Fd61QAC
Rent & Fees (Covid),5179.0,,Housing,09/22/20,Paid,SHFS-TFC0000522104,Progress Residential,a0z4N000007FdVkQAK
Past Due Rent & Fees (covid),4675.0,,Housing,10/13/20,Paid,SHFS-TFC0000525115,Hickory Highland,a0z4N000007FdlhQAC
App Fee,35.0,,Housing,12/15/20,Paid,SHFS-TFC0000522099,East River Place,a0z4N000007FehOQAS
June 2021 Rent,162.5,,Housing,05/25/21,Paid,SHFS-TFC0000522099,Firemark Properties,a0z4N000007FeuwQAC
ProRated Jan 2021 Rent,875.0,,Housing,01/07/21,Paid,SHFS-TFC0000522099,Firemark Properties,a0z4N000007FevXQAS
March 2021 Rent,762.5,,Housing,02/23/21,Paid,SHFS-TFC0000522099,Firemark Properties,a0z4N000007FeutQAC
February 2021 Rent,962.5,,Housing,01/26/21,Paid,SHFS-TFC0000522099,Firemark Properties,a0z4N000007FeusQAC
Deposit,1050.0,,Housing,01/07/21,Paid,SHFS-TFC0000522099,Firemark Properties,a0z4N000007FevYQAS
May 2021 Rent,362.5,,Housing,04/27/21,Paid,SHFS-TFC0000522099,Firemark Properties,a0z4N000007FeuvQAC
April 2021 Rent,562.5,,Housing,03/30/21,Paid,SHFS-TFC0000522099,Firemark Properties,a0z4N000007FeuuQAC
NES,201.08,,Housing,08/26/20,Paid,SHFS-TFC0000525118,,a0z4N000007Fd5xQAC
Utility,373.5,,Housing,01/08/21,Paid,SHFS-TFC0000522099,Gallatin Dept of Ele,a0z4N000007FeyvQAC
July 2021 Rent,0.0,,Housing,,Cancelled,SHFS-TFC0000522099,Firemark Properties,a0z4N000007FeuxQAC
June 2021 Rent,480.0,,Housing,05/25/21,Paid,SHFS-TFC0000525597,Hamilton Creek Apartments,a0z4N000007oT6qQAE
August 2021 Rent,80.0,,Housing,07/27/21,Paid,SHFS-TFC0000525597,Hamilton Creek Apartments,a0z4N000007oT6sQAE
May 2021 Rent,680.0,,Housing,04/27/21,Paid,SHFS-TFC0000525597,Hamilton Creek Apartments,a0z4N000007oT6pQAE
Deposit,350.0,,Housing,03/25/21,Paid,SHFS-TFC0000525597,Hamilton Creek,a0z4N000007oT6bQAE
April Rent,680.0,,Housing,03/25/21,Paid,SHFS-TFC0000525597,Hamilton Creek,a0z4N000007oT6kQAE
App Fee,25.0,,Housing,02/25/21,Paid,SHFS-TFC0000525597,Hamilton Creek,a0z4N000007FfpxQAC
July 2021 Rent,280.0,,Housing,06/29/21,Paid,SHFS-TFC0000525597,Hamilton Creek Apartments,a0z4N000007oT6rQAE
September 2021 Rent,0.0,,Housing,,Cancelled,SHFS-TFC0000525597,Hamilton Creek Apartments,a0z4N000007oT6tQAE
1/2 cost of Brakes and rotor repair,183.03,,Other Assistance,10/01/20,Paid,SHFS-TFC0000522097,Budget Brakes,a0z4N000007FdeVQAS
In Kind Items given - Mattress,594.0,,Other Assistance,06/03/20,Paid,SHFS-TFC0000522097,,a0z4N000006iHriQAE
App Fee,25.0,,Housing,01/04/21,Paid,SHFS-TFC0000522099,Firemark,a0z4N000007FfpOQAS
Birth Certificate,53.0,,Housing,12/27/21,Paid,SHFS-TFC0000522303,Tennessee Vital Records,a0z4N000007zIjZQAU
Water Bill,371.51,,Housing,08/26/20,Paid,SHFS-TFC0000525118,,a0z4N000007Fd5wQAC
Rental Deposit,1192.0,,Housing,08/28/20,Paid,SHFS-TFC0000522105,,a0z4N000007FdKEQA0
In Kind items given to,327.0,,Other Assistance,09/30/20,Paid,SHFS-TFC0000525742,,a0z4N000007FeMhQAK
Rental Deposit,300.0,,Housing,11/03/20,Paid,SHFS-TFC0000525742,Uptown Flats,a0z4N000007FdyuQAC
ProRated Nov. Rent,1224.0,,Housing,11/03/20,Paid,SHFS-TFC0000525742,Uptown Flats,a0z4N000007FdyzQAC
December 2020 Rent,1160.0,,Housing,11/24/20,Paid,SHFS-TFC0000525742,Uptown Flats,a0z4N000007FdyRQAS
January 2021 Rent,960.0,,Housing,12/22/20,Paid,SHFS-TFC0000525742,Uptown Flats,a0z4N000007FdySQAS
March 2021 Rent,510.0,,Housing,02/23/21,Paid,SHFS-TFC0000525742,Uptown Flats,a0z4N000007FdyUQAS
April 2021 Rent,310.0,,Housing,03/30/21,Paid,SHFS-TFC0000525742,Uptown Flats,a0z4N000007FdyVQAS
December 2020 Nashville Electric Service- 1490732-0505259,154.0,,Housing,11/24/20,Paid,SHFS-TFC0000525742,Nashville Electric Service (NES),a0z4N000007FdyQQAS
February 2021 Rent,710.0,,Housing,02/01/21,Paid,SHFS-TFC0000525742,Uptown Flats,a0z4N000007FdyTQAS
May 2021 Rent,0.0,,Housing,,Cancelled,SHFS-TFC0000525742,Uptown Flats,a0z4N000007FdyWQAS
Utility  Deposit,252.25,,Housing,11/03/20,Paid,SHFS-TFC0000525742,NES,a0z4N000007FdzJQAS
Past Due Rent (covid),3500.0,,Housing,10/15/20,Paid,SHFS-TFC0000525119,Ayers Wilson,a0z4N000007Fdm3QAC
Rental Arrears,502.0,,Housing,01/15/19,Paid,SHFS-TFC0000525124,,a0z610000044jjrAAA
Past Due Utilities (Covid),291.4,,Housing,11/24/20,Paid,SHFS-TFC0000522108,NES,a0z4N000007FeG7QAK
Past Due Utilities (Covid),394.51,,Housing,11/24/20,Paid,SHFS-TFC0000522108,Metro Water,a0z4N000007FeGGQA0
Past Due Rent & Fees (Covid),1650.0,,Housing,11/03/20,Paid,SHFS-TFC0000522108,"RxR, LLC",a0z4N000007Fdz1QAC
Past due rent & fees (covid),1595.0,,Housing,10/14/20,Paid,SHFS-TFC0000525121,Rightway Properties,a0z4N000007Fdm1QAC
Sept Rental Asst,966.0,,Housing,12/22/20,Paid,SHFS-TFC0000522106,,a0z4N000007FejdQAC
2 gas 1 walmart,75.0,,Other Assistance,05/18/20,Paid,SHFS-TFC0000522105,,a0z4N000006iHpQQAU
Gift Card for Food,100.0,,Other Assistance,07/13/20,Paid,SHFS-TFC0000522105,,a0z4N000007Fd9sQAC
Rental Application Fee,90.0,,Housing,06/25/20,Paid,SHFS-TFC0000522105,,a0z4N000006iGqaQAE
October Rent,1192.0,,Housing,10/01/20,Paid,SHFS-TFC0000522105,,a0z4N000007FdaEQAS
Utility Deposit (w/ same day service fee),370.0,,Housing,10/08/20,Paid,SHFS-TFC0000522105,,a0z4N000007FdhRQAS
Rental Application Fee,50.0,,Housing,08/24/20,Paid,SHFS-TFC0000522105,,a0z4N000007Fd1qQAC
Rental Arrears,340.0,,Housing,09/24/18,Paid,SHFS-TFC0000525124,,a0z610000044AuJAAU
birth certificates for family,45.5,,Housing,12/16/21,Paid,SHFS-TFC0000522303,Tennessee Vital Records,a0z4N000007zIQxQAM
App Fee,25.0,,Housing,01/12/22,Paid,SHFS-TFC0000522303,The Park @ Richards Road,a0z4N000007zIubQAE
July 2022 Rent,440.0,,Housing,,Planned,SHFS-TFC0000522303,The Park @ Richards Road,a0z4N000007zJhBQAU
Parital Rent Payment,218.0,Rent,Housing,,Planned,a1O4x000003UJxlEAG,Jack Miller at Eagles Crest,a1e4x000000qs5JAAQ
Hotel Stay 08/18,65.53,Hotel,Housing,08/18/21,Paid,a0t4x0000021yZzAAI,Intown Suites,a194x000002AEdYAAW
Hotel Agreement,291.99,Hotel,Other Assistance,01/27/22,Paid,a0t4x0000021ytrAAA,Intown Suites,a194x000002vfmAAAQ
Hotel Stay,350.07,Hotel,Housing,03/31/22,Paid,a1O4x000006OguHEAS,Springfield Inn,a1e4x000000qv6FAAQ
Intown Suites,409.54,Hotel,Other Assistance,07/14/21,Paid,a0t4x0000021uPQAAY,Intown Suites,a194x0000029GQaAAM
January 2022 Rent,783.0,Rent,Housing,12/22/21,Paid,a0t4x0000021uPPAAY,The 902 Apartments,a194x000002vRVTAA2
Childcare,220.0,Childcare Expenses,,12/09/21,Paid,a0t4x0000021yicAAA,Kindercare,a194x000002vOL0AAM
August Rent,730.0,Rent,Housing,08/03/21,Paid,a1O4x000003Tt2yEAC,RiverChase Apartments,a1e4x000000qhEXAAY
Hotel,191.99,Hotel,Other Assistance,11/11/21,Paid,a0t4x0000021ytrAAA,Intown Suites,a194x000002vOJsAAM
Application Fee,20.0,,Housing,01/27/22,Paid,a0t4x0000021uPEAAY,Northfield Ridge Apts.,a194x000002vfmJAAQ
Gas,83.15,Gas Card,Employment,03/31/22,Paid,a1O4x000003UMWtEAO,Shell,a1e4x000000qv5MAAQ
Hotel Agreement,261.99,Hotel,Other Assistance,03/31/22,Paid,a0t4x0000021yicAAA,Intown Suites,a194x000002wJkmAAE
Rental Assistance,550.0,Rent,Housing,01/19/22,Paid,a0t4x000001qjCsAAI,Mid TN Rental (Jonathon Loffi),a194x000001YOPUAA4
Rent August,900.0,Rent,Housing,07/29/21,Paid,a0t4x0000021uPCAAY,Old Town Village II,a194x0000029UIgAAM
NES shut-off notice (Light Bill),325.2,Utilities,Other Assistance,01/07/22,Paid,a0t4x000001qhZCAAY,Nashville Electric Service (NES),a194x000001YNijAAG
NES (Current and Arrears),213.26,Utility Arrears,Housing,12/19/19,Paid,a0t4x000001V40xAAC,,a0z4N000005OXYOQA4
Childcare,230.0,Childcare Expenses,,12/16/21,Paid,a0t4x0000021uPIAAY,Kindercare,a194x000002vOMfAAM
Kroger Gift Card (Groceries),25.0,Gift Card,Other Assistance,12/06/21,Paid,a0t4x000001qkRLAAY,,a194x000001YLi0AAG
Car Repair,200.0,Car Repair,Other Assistance,06/17/21,Paid,a0t4x0000021uPXAAY,Ray's Custom Exhaust Shop LLC,a0z4N000007oUdgQAE
birth certificate- cimorah,10.0,Birth Certificate,Other Assistance,04/25/19,Paid,a0t4x000001V41OAAS,,a0z4N000004sVECQA2
Partial Payment of Outstanding TCAT Fees,150.0,Tuition,,10/08/20,Paid,a0t4x000001V40oAAC,,a0z4N000007Fdi3QAC
MTE Electric Deposit,300.0,Utility Deposit,Housing,12/22/21,Paid,a0t4x0000021uPPAAY,Middle Tennessee Electric,a194x000002vJfOAAU
"Tuition for Corner to Corner, Academy Registration",115.0,Tuition,,03/30/22,Paid,a0t4x000001V41YAAS,,a194x000001t7pcAAA
June Rent Pymt,810.0,Rent,Housing,06/03/21,Paid,a1O4x000003TNKmEAO,,a0z4N000007oUKmQAM
Application fee,25.0,,Housing,02/10/21,Paid,a1O4x000001A37JEAS,,a0z4N000007FflgQAC
October Rent,1591.0,Rent,Housing,09/29/21,Paid,a1O4x000003UJxlEAG,"Eagles Crest at Jack Miller- Clarksville, TN",a1e4x000000qiMwAAI
Goodwill Gift Cards,100.0,Gift Card,Other Assistance,11/02/20,Paid,a0t4x000001V40pAAC,,a0z4N000007FeL8QAK
June 2021 Rent,900.0,Rent,Housing,05/25/21,Paid,0014N00002e4J4fQAE,Townhomes at Montague,a0z4N000007oTT6QAM
Utilities,515.0,Utility Arrears,Housing,06/24/21,Paid,a1O4x000003TNKeEAO,,a0z4N000007oUiwQAE
Mattresses,0.0,Mattress,Housing,12/21/21,Paid,a1O4x000003UJxlEAG,Donation from United way,a1e4x000000qrocAAA
Admin Fee,100.0,,Housing,09/29/21,Paid,a1O4x000003UJxlEAG,"Eagles Crest at Jack Miller- Clarksville, TN",a1e4x000000qiNBAAY
Pay off bal on generator for food truck,240.0,Other,Employment,01/29/20,Paid,a0t4x000001V40uAAC,,a0z4N000006eqnLQAQ
April May Rent Payment,1128.77,Rent,Housing,04/21/21,Paid,a1O4x000003TNKoEAO,,a0z4N000007oTQgQAM
Education - School Application Fee,105.44,,,10/22/21,Paid,a0t4x000001V40mAAC,,a194x000001sufdAAA
Motel Fee,338.84,Rent,Housing,08/30/21,Paid,a1O4x000003UKFBEA4,Motel 6- 3080 Wilma Rudolph Blvd.,a1e4x000000qoV9AAI
Utilities,150.0,Utility Deposit,Housing,09/21/21,Paid,a1O4x000003UKFBEA4,,a1e4x000000qiNRAAY
Security deposit,750.0,Rental Deposit,Housing,05/14/21,Paid,a1O4x000003Tv9FEAS,,a0z4N000007oU4pQAE
Rent,3213.0,Rental Arrears,Housing,08/18/21,Paid,a1O4x000003TvdSEAS,17th Street Apartments,a1e4x000000qhUkAAI
Rental Arrears,637.08,Rental Arrears,Housing,01/23/19,Paid,a0t4x000001V413AAC,,a0z610000044jl4AAA
Rent for (September 2021),800.0,Rent,Housing,09/02/21,Paid,a0t4x0000021uPNAAY,David Cox,a194x0000029rUfAAI
Childcare (for 2 weeks),460.0,Childcare Expenses,,01/06/22,Paid,a0t4x0000021uPIAAY,KinderCare,a194x000002vSVZAA2
Tire fix so client can go to work,70.35,Other,Employment,02/23/21,Paid,a1O4x000003TNKnEAO,,a0z4N000007FflWQAS
Direct assistant-Nashville Electric,129.94,Utilities,Housing,02/12/21,Paid,a0t5e0000010OS3AAM,,a195e000002J77TAAS
Hotel bill,433.49,Hotel,Other Assistance,09/16/21,Paid,a0t4x0000021yicAAA,Intown Suites,a194x000002AArQAAW
Electric Bill,50.0,Utilities,Other Assistance,03/30/22,Paid,a0r4W00000e4RWRQA2,Middle Tennessee Electric,a1K4W00002xluDkUAI
Hotel,190.0,Hotel,Other Assistance,11/18/21,Paid,a0t4x00000221DzAAI,Knights Inn,a194x000002vOjOAAU
Rental Deposit,500.0,Rental Deposit,Housing,10/26/21,Paid,a1O4x000003UJcvEAG,Ridgewood Apartments,a1e4x000000qqDzAAI
Hotel,359.54,Hotel,Other Assistance,11/04/21,Paid,a0t4x0000021uPQAAY,Intown Suites,a194x000002vOiMAAU
FB tuition assistance-SA summer,250.0,Childcare Expenses,Other Assistance,06/18/19,Paid,a0t4x000001V40gAAC,,a0z4N000004sWHNQA2
NES,174.72,Utilities,Housing,12/09/20,Paid,a0t4x000001V40hAAC,,a0z4N000007FeYxQAK
Hotel,300.0,Hotel,Other Assistance,12/21/21,Paid,a0t4x0000022ImwAAE,Knights Inn,a194x000002vOkWAAU
Rental Car,676.4,Other,Employment,04/04/22,Paid,a1O4x000003TNKpEAO,Enterprise Rental Car,a1e4x000000qv9JAAQ
Food Asisstance,250.0,Gift Card,Other Assistance,03/25/20,Paid,a0t4x000001V417AAC,,a0z4N000006en22QAA
Metro Water Service,60.38,Utilities,Housing,11/23/20,Paid,a0t5e0000010OSGAA2,,a195e000002J77ZAAS
ST LUKE'S 3-11-22,370.0,Furniture,Other Assistance,,Paid,,,a1K4W00002xlo9MUAQ
Rent August,300.0,Rent,Housing,07/29/21,Paid,a0t4x0000021uPOAAY,Old Town Village,a194x0000029UIlAAM
Hotel,311.99,Hotel,Other Assistance,01/07/22,Paid,a0t4x0000021yicAAA,Intown Suites,a194x000002vZ6XAAU
Wal-Mart Gift card Christmas Presents,50.0,Gift Card,Other Assistance,12/09/20,Paid,a0t4x000001V414AAC,,a0z4N000007FeYsQAK
Furnature/Fixings $198.47 (ck.#10903),198.47,Furniture,Housing,05/06/21,Paid,a0t4x0000021uPIAAY,,a0z4N000007oU0TQAU
Intown Suites,291.99,Hotel,Other Assistance,09/02/21,Paid,a0t4x0000021ytrAAA,Intown Suites,a194x0000029mf3AAA
Hotel Agreement,261.99,Hotel,Other Assistance,03/24/22,Paid,a0t4x0000021yicAAA,Intown Suites,a194x000002wGwVAAU
Hotel Stay/No show fee,99.49,Hotel,Housing,09/25/21,Paid,a0t4x0000021zhNAAQ,"Clarion Inn, Murfreesboro",a194x000002ABsEAAW
Kitchen/Furniture,102.9,Furniture,Other Assistance,07/07/21,Paid,a0t4x0000021uPCAAY,Greenhouse Ministries,a194x0000029CszAAE
Deposit for Journey Home Supportive Housing Program,600.0,Rental Deposit,Housing,04/08/22,Paid,a134p000008BuL8AAK,Journey Home,a194x000002wy2tAAA
Housing Deposit For (July 2021),1180.0,Rental Deposit,Housing,06/17/21,Paid,a0t4x0000021uPCAAY,Old Town Village ll,a194x0000029BcyAAE
Hotel,359.54,Hotel,Other Assistance,11/18/21,Paid,a0t4x0000021uPQAAY,Intown Suites,a194x000002vOiaAAE
Rent Payment,570.0,Rental Arrears,Housing,06/23/21,Planned,a094x000005aJICAA2,MDHA,a1H4x000002ceE7EAI
Hotel,300.0,Hotel,Other Assistance,12/16/21,Paid,a0t4x0000022ImwAAE,Knights Inn,a194x000002vOkRAAU
Hotel,290.0,Hotel,Other Assistance,10/28/21,Paid,a0t4x0000021ylvAAA,Rodeway Inn,a194x000002vOKAAA2
Additional Deposit for Journey Home Supportive Housing,495.0,Rental Deposit,Housing,04/08/22,Paid,a134p000008BuL8AAK,Journey Home,a194x000002wy2uAAA
Childcare,220.0,Childcare Expenses,,03/24/22,Paid,a0t4x0000021yicAAA,KinderCare,a194x000002wGwpAAE
Hotel Agreement,190.0,Hotel,Other Assistance,01/13/22,Paid,a0t4x00000221DzAAI,Knights Inn,a194x000002vZ6wAAE
Rental Agreement,232.0,Rent,Housing,03/24/22,Paid,a0t4x0000021uPEAAY,The Dylan,a194x000002wGtWAAU
Rent for September,650.0,Rent,Housing,08/25/21,Paid,a0t4x0000021uPCAAY,Old Town Village ll,a194x0000029lTLAAY
Rent,1180.0,Rent,Housing,08/05/21,Paid,a0t4x0000021uPRAAY,Rutherford Park Apartments,a194x0000029XaUAAU
MOB - 2-16-22,200.0,Furniture,Other Assistance,,Paid,,,a1K4W00002xlnZtUAI
Hotel Bill,359.54,Hotel,Other Assistance,09/09/21,Paid,a0t4x0000021uPQAAY,Intown Suites,a194x0000029rVTAAY
Apartment Damages July,398.75,Rental Arrears,Housing,07/15/21,Paid,a0t4x0000021uPKAAY,Cason Ridge Apts,a194x0000029JWpAAM
Rent for November,880.0,Rent,Housing,10/28/21,Paid,a0t4x0000021uPRAAY,Rutherford Park Apartments,a194x000002vJZPAA2
Intown Suites (Ck.#10900),493.28,Other,Housing,05/06/21,Paid,a0t4x0000021uPLAAY,,a0z4N000007oU53QAE
Bluegrass Meadows Security Deposit,1129.0,Rental Deposit,Housing,04/01/21,Paid,a1O4x000003TNKoEAO,,a0z4N000007oTAIQA2
MDHA 2-9-22,380.0,Furniture,Other Assistance,,Paid,,,a1K4W00002xlnZeUAI
Hotel,290.0,Hotel,Other Assistance,10/21/21,Paid,a0t4x0000021ylvAAA,Rodeway Inn,a194x000002vOKbAAM
Prorated November Rent,835.8,Rent,Housing,10/30/20,Paid,a0t4x000001V41TAAS,,a0z4N000007FdkKQAS
Aesthetician Board - Practical Exam Fee (part II of certification exam),70.0,Other,,12/10/21,Paid,a0t4x000001V40zAAC,,a194x000001sxY6AAI
Furniture,86.37,Furniture,Other Assistance,11/04/21,Paid,a0t4x0000021ylvAAA,Habitat for Humanity,a194x000002vOKMAA2
Hotel Stay 08/19-08/26,511.0,Hotel,Housing,08/18/21,Paid,a0t4x0000021uP9AAI,Uptown Suites,a194x0000029i1xAAA
Rent for(June 2021) CK#10959,800.0,Rent,Housing,06/03/21,Paid,a0t4x0000021uPNAAY,,a0z4N000007oUKwQAM
NES Cut Off,338.33,Utility Arrears,Housing,09/12/18,Paid,a0t4x000001V40eAAC,,a0z610000044RTNAA2
Rent,894.0,Rent,Housing,04/23/19,Paid,a0t4x000001V40nAAC,,a0z4N000004sVJrQAM
FB tuition assistance,27.0,Childcare Expenses,Other Assistance,03/13/19,Paid,a0t4x000001V40iAAC,,a0z61000003iLNGAA2
Rental Agreement,165.0,Rent,Housing,02/22/22,Paid,a0t4x0000021ylvAAA,Green Meadow Apartments,a194x000002vzlvAAA
Childcare for (May 2021) CK#10931,185.0,Childcare Expenses,Other Assistance,05/20/21,Paid,a0t4x0000021uPNAAY,,a0z4N000007oU9gQAE
Intown suites (ck.#10941),396.82,Other,Housing,05/27/21,Paid,a0t4x0000021uPLAAY,,a0z4N000007oUJPQA2
Childcare for (July 2021) CK#11011,66.0,Childcare Expenses,Other Assistance,07/01/21,Paid,a0t4x0000021uPNAAY,Jaymes Christian Academy,a194x0000029BchAAE
Hotel Stay 07/29-08/05,511.0,Hotel,Housing,07/29/21,Paid,a0t4x0000021uP9AAI,Uptown Suites,a194x0000029i1sAAA
Bunk Bed purchase,257.78,Furniture,Other Assistance,10/29/21,Paid,a0t4x0000021ylvAAA,Amazon,a194x000002vOK9AAM
Hotel,383.49,Hotel,Other Assistance,11/11/21,Paid,a0t4x0000021yicAAA,Intown Suites,a194x000002vOMWAA2
Kroger Gift Cards (2),40.0,Groceries/Food Box,Other Assistance,09/12/18,Paid,a0t4x000001V40eAAC,,a0z610000044WcyAAE
childcare,70.0,Childcare Expenses,Other Assistance,03/11/22,Paid,a0r4W00000e4RWSQA2,Little Angels Child Develpment,a1K4W00002xlohLUAQ
Intown Suites Ck.#10984,434.54,Hotel,Housing,06/18/21,Paid,a0t4x0000021uPQAAY,Intown Suites,a0z4N000007oUdMQAU
Gas Card,25.0,Gift Card,Other Assistance,08/19/19,Paid,a0t4x000001V41OAAS,,a0z4N000006iHreQAE
Childcare,200.0,Childcare Expenses,,10/14/21,Paid,a0t4x0000021yicAAA,Kindercare,a194x000002vOLvAAM
Hotel Stay Holiday Inn,618.83,Hotel,Housing,03/18/22,Paid,a0r4W00000e4RWSQA2,Holiday Inn Express Dickson,a1K4W00002xltneUAA
Hotel,383.49,Hotel,Other Assistance,11/18/21,Paid,a0t4x0000021yicAAA,Intown Suites,a194x000002vOMaAAM
Hotel Stay,350.07,Hotel,Housing,03/03/22,Paid,a1O4x000006FxlSEAS,Springfield Inn,a1e4x000000quE9AAI
Utilities Bill,339.61,Utilities,Housing,08/31/20,Paid,a0t4x000001V40kAAC,,a0z4N000007Fd8yQAC
Hotel Agreement,301.99,Hotel,Other Assistance,02/24/22,Paid,a0t4x0000021ytrAAA,Intown Suites,a194x000002vzmKAAQ
Past Due Rent & Fees (Covid),1210.0,,Housing,10/23/20,Paid,SHFS-TFC0000525131,Firemark,a0z4N000007FdplQAC
Security Deposit,500.0,Rental Deposit,Housing,09/21/21,Paid,a1O4x000003UKFBEA4,Belle Forest at Memorial,a1e4x000000qiNkAAI
Hotel Agreement,350.0,Hotel,Other Assistance,01/27/22,Paid,a0t4x00000221DzAAI,Knights Inn,a194x000002vfmGAAQ
App Fee,35.0,,Housing,11/10/20,Paid,SHFS-TFC0000522307,Lenore Gardens,a0z4N000007Fe2UQAS
Hotel 11.6-11.10,168.0,,Other Assistance,11/06/20,Paid,SHFS-TFC0000522307,Hometowne Studios,a0z4N000007Fe2YQAS
Hotel 11.10-11.14,168.0,,Other Assistance,11/12/20,Paid,SHFS-TFC0000522307,Hometowne Studios,a0z4N000007Fe5rQAC
March 2022 Rent,0.0,,Housing,,Cancelled,SHFS-TFC0000525319,Uptown Flats,a0z4N000007zHzgQAE
Cube Smart Storage Unit Rental Fee,73.95,,Housing,03/23/22,Paid,SHFS-TFC0000525319,Cube Smart,a0z4N000006gO3SQAU
Utility Deposit,252.25,,Housing,11/22/21,Paid,SHFS-TFC0000525319,Nashville Electric Service (NES),a0z4N000007zI0ZQAU
December 2021 Rent,1350.0,,Housing,11/23/21,Paid,SHFS-TFC0000525319,Uptown Flats,a0z4N000007zHzdQAE
June 2022 Rent,0.0,,Housing,,Planned,SHFS-TFC0000525319,Uptown Flats,a0z4N000007zHzjQAE
May 2022 Rent,0.0,,Housing,,Planned,SHFS-TFC0000525319,Uptown Flats,a0z4N000007zHziQAE
April 2022 Rent,0.0,,Housing,,Cancelled,SHFS-TFC0000525319,Uptown Flats,a0z4N000007zHzhQAE
February 2022 Rent,950.0,,Housing,01/25/22,Paid,SHFS-TFC0000525319,Uptown Flats,a0z4N000007zHzfQAE
Prorate,540.0,,Housing,11/19/21,Paid,SHFS-TFC0000525319,Uptown Flats,a0z4N000007zHzpQAE
January 2022 Rent_check not received_reissued in January pd. 1.18.22,1150.0,,Housing,12/21/21,Paid,SHFS-TFC0000525319,Uptown Flats,a0z4N000007zHzeQAE
App Fee,70.0,,Housing,10/29/21,Paid,SHFS-TFC0000525319,Uptown Flats,a0z4N000007zHf8QAE
December Pro Rate Rent,1243.0,,Housing,12/03/20,Paid,SHFS-TFC0000522308,Union on Thompson,a0z4N000007FeQwQAK
January 2021 Rent,1176.0,,Housing,12/22/20,Paid,SHFS-TFC0000522308,Union on Thompson,a0z4N000007FeOJQA0
February 2021 Rent,926.0,,Housing,01/26/21,Paid,SHFS-TFC0000522308,Union on Thompson,a0z4N000007FeOKQA0
Birth Certificate,30.0,,Other Assistance,11/30/20,Paid,SHFS-TFC0000522308,Wisconson Dept of Health,a0z4N000007FejnQAC
Electric Utility Deposit,252.25,,Housing,10/28/21,Paid,SHFS-TFC0000525667,Nashville Electric Service (NES),a0z4N000007zHYdQAM
Electric Bill,176.25,,Housing,02/09/22,Paid,SHFS-TFC0000525667,Nashville Electric Service (NES),a0z4N000007zJSMQA2
Utility Bill,151.25,,Housing,01/11/22,Paid,SHFS-TFC0000525667,Nashville Electric Service (NES),a0z4N000007zIhIQAU
March 2022 Rent,649.0,,Housing,02/22/22,Paid,SHFS-TFC0000525667,Hickory Lake Apartments,a0z4N000007zHYmQAM
May 2022 Rent,200.0,,Housing,,Planned,SHFS-TFC0000525667,Hickory Lake Apartments,a0z4N000007zHohQAE
Jan 2022 Rent,1210.0,,Housing,01/25/22,Paid,SHFS-TFC0000522307,Lenore Garden,a0z4N000007zJ4qQAE
April 2021 Rent,700.0,,Housing,03/30/21,Paid,SHFS-TFC0000522307,Lenore Garden,a0z4N000007Fe5QQAS
Deposit,1100.0,,Housing,11/12/20,Paid,SHFS-TFC0000522307,Lenore Garden,a0z4N000007Fe4vQAC
Feb 2022 Rent,1210.0,,Housing,01/25/22,Paid,SHFS-TFC0000522307,Lenore Garden,a0z4N000007zJ55QAE
June 2022 Rent,640.0,,Housing,,Planned,SHFS-TFC0000522303,The Park @ Richards Road,a0z4N000007zJhAQAU
August 2022 Rent,240.0,,Housing,,Planned,SHFS-TFC0000522303,The Park @ Richards Road,a0z4N000007zJhCQAU
May 2022 Rent,840.0,,Housing,,Planned,SHFS-TFC0000522303,The Park @ Richards Road,a0z4N000007zJh9QAE
September 2022 Rent,0.0,,Housing,,Planned,SHFS-TFC0000522303,The Park @ Richards Road,a0z4N000007zJhDQAU
April 2022 Rent,1040.0,,Housing,03/29/22,Paid,SHFS-TFC0000522303,The Park @ Richards Road,a0z4N000007zJh8QAE
Deposit,1040.0,,Housing,02/24/22,Paid,SHFS-TFC0000522303,The Park @ Richards Road,a0z4N000007zJgyQAE
Prorate (Feb+March),1226.0,,Housing,02/24/22,Paid,SHFS-TFC0000522303,The Park @ Richards Road,a0z4N000007zJh3QAE
Childcare Application Fee,50.0,,Other Assistance,03/25/22,Paid,SHFS-TFC0000522303,American Child Care Center (Nolensville),a0z4N000006gOZGQA2
1/2 of December Rent,790.0,,Housing,11/17/20,Paid,SHFS-TFC0000522305,,a0z4N000007Fe5ZQAS
NES Deposit needed for recent move in to housing,250.0,,Housing,10/05/20,Paid,SHFS-TFC0000522305,,a0z4N000007FdhMQAS
Housing Balance needed for recent move in to housing,254.42,,Housing,10/15/20,Paid,SHFS-TFC0000522305,,a0z4N000007FdiIQAS
June 2022 Rent,0.0,,Housing,,Planned,SHFS-TFC0000525667,Hickory Lake Apartments,a0z4N000007zHoiQAE
Past Due Rent (Covid),990.0,,Housing,09/22/20,Paid,SHFS-TFC0000522306,Darren Robertson,a0z4N000007FdV7QAK
July 2021 Rent,0.0,,Housing,,Cancelled,SHFS-TFC0000522307,Lenore Garden,a0z4N000007Fe5TQAS
Utility Deposit,252.25,,Housing,11/13/20,Paid,SHFS-TFC0000522307,NES,a0z4N000007Fe5oQAC
